organism,dataset_type,uniprot_id,download_status,alphafold_version,download_url,structure_path,error
ESKAPE,linear,Q2FXX5,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FXX5-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FXX5.pdb,
ESKAPE,linear,Q2FY60,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FY60-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FY60.pdb,
ESKAPE,linear,Q2FYP2,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FYP2-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FYP2.pdb,
ESKAPE,linear,Q2FZ93,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZ93-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZ93.pdb,
ESKAPE,linear,Q2FZ94,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZ94-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZ94.pdb,
ESKAPE,linear,Q2FZB1,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZB1-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZB1.pdb,
ESKAPE,linear,Q2FZB8,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZB8-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZB8.pdb,
ESKAPE,linear,Q2FZF0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZF0-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZF0.pdb,
ESKAPE,linear,Q2FZK7,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZK7-F1-model_v6.pdb,structures/ESKAPE/linear/Q2FZK7.pdb,
ESKAPE,linear,Q2G010,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G010-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G010.pdb,
ESKAPE,linear,Q2G028,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G028-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G028.pdb,
ESKAPE,linear,Q2G032,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G032-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G032.pdb,
ESKAPE,linear,Q2G034,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G034-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G034.pdb,
ESKAPE,linear,Q2G155,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G155-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G155.pdb,
ESKAPE,linear,Q2G1E2,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G1E2-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G1E2.pdb,
ESKAPE,linear,Q2G1N0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G1N0-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G1N0.pdb,
ESKAPE,linear,Q2G1X0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G1X0-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G1X0.pdb,
ESKAPE,linear,Q2G282,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G282-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G282.pdb,
ESKAPE,linear,Q2G2B2,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2B2-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2B2.pdb,
ESKAPE,linear,Q2G2D8,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2D8-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2D8.pdb,
ESKAPE,linear,Q2G2G6,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2G6-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2G6.pdb,
ESKAPE,linear,Q2G2Q0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2Q0-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2Q0.pdb,
ESKAPE,linear,Q2G2W1,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2W1-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2W1.pdb,
ESKAPE,linear,Q2G2Y0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2Y0-F1-model_v6.pdb,structures/ESKAPE/linear/Q2G2Y0.pdb,
ESKAPE,linear,Q3XYW0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q3XYW0-F1-model_v6.pdb,structures/ESKAPE/linear/Q3XYW0.pdb,
ESKAPE,linear,Q53682,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q53682-F1-model_v6.pdb,structures/ESKAPE/linear/Q53682.pdb,
ESKAPE,linear,T1Y671,not_found,,,,
